Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Recto Verso,0.749,0.653,9,-8.931,0,0.043,0.0119,0.158,0.645,126.006,383.933,4
Le premier jour (du reste de ta vie),0.549,0.485,4,-10.311,1,0.0263,0.282,0.0761,0.46,63.111,250.413,4
Saxophone,0.74,0.505,7,-12.133,1,0.109,0.317,0.169,0.668,89.977,220.747,4
With You,0.648,0.681,4,-10.394,0,0.0709,0.00919,0.102,0.302,119.995,234,4
La forêt,0.862,0.468,7,-5.697,1,0.0708,0.00456,0.0884,0.737,132.03,284.508,4
All that she wants,0.494,0.606,1,-6.562,0,0.104,0.235,0.0811,0.283,97.992,257.862,4
Home,0.697,0.542,6,-9.823,0,0.0385,0.708,0.119,0.106,119.991,314.5,4
La Fille Aux Cheveux De Soie - Isaac Delusion Remix,0.562,0.555,8,-8.942,0,0.0547,0.159,0.0758,0.446,105.002,233.813,4
Smile - Vocal Mix,0.797,0.743,10,-8.019,0,0.059,0.0041,0.116,0.588,120.06,206.347,4
Time to Dance,0.604,0.978,9,-6.906,1,0.0585,0.0142,0.495,0.763,143.992,196.31,4
You Me Cellphones,0.531,0.509,0,-9.003,1,0.029,0.0341,0.0931,0.417,99.941,217.023,4
Pluie Fine - Polo & Pan Remix,0.849,0.7,8,-8.064,0,0.0625,0.383,0.0955,0.215,118.011,238.081,4
Nakt,0.62,0.806,7,-13.5,0,0.041,0.274,0.0912,0.117,128.002,284.76,4
Blouson noir,0.576,0.797,0,-7.583,1,0.0506,0.0841,0.108,0.222,111.987,277.453,4
Tears of Lava,0.724,0.667,7,-9.624,1,0.0367,0.229,0.0881,0.237,99.999,227.157,4
The Way That You Like,0.766,0.499,8,-9.422,1,0.035,0.0444,0.104,0.113,113.97,225.831,4
Blood in Love,0.778,0.862,0,-6.532,1,0.0523,0.49,0.117,0.349,127.941,185.885,4
Little Lady,0.882,0.447,1,-7.673,1,0.0341,0.485,0.0898,0.625,95.996,299.547,4
